iter	RMSE
0	77292.79903
1	75273.03852
2	73239.48659
3	71553.17857
4	69623.53432
5	67675.51969
6	65952.05025
7	64512.91203
8	62998.37623
9	61580.65632
10	60153.97666
11	58757.62457
12	57414.90111
13	56103.09872
14	54907.66893
15	53707.84426
16	52612.15408
17	51517.38677
18	50419.02398
19	49416.48904
20	48455.17257
21	47458.94451
22	46564.72834
23	45810.30776
24	45037.46882
25	44240.63352
26	43539.954
27	42675.69634
28	41992.37928
29	41295.34271
30	40670.8491
31	39996.5062
32	39436.89952
33	38816.45103
34	38255.39207
35	37678.85903
36	37202.77425
37	36665.12171
38	36180.62214
39	35698.00133
40	35212.49712
41	34753.34087
42	34300.39139
43	33825.13347
44	33352.56688
45	32975.37771
46	32513.39189
47	32098.50202
48	31750.47253
49	31393.64599
50	31046.12598
51	30715.97334
52	30396.86358
53	30050.61797
54	29727.92799
55	29447.27902
56	29112.87634
57	28820.95306
58	28570.01776
59	28326.34159
60	28065.06462
61	27791.92812
62	27593.13721
63	27327.66111
64	27070.5091
65	26866.17789
66	26659.13031
67	26438.63379
68	26274.91164
69	26068.22811
70	25858.59074
71	25694.63519
72	25553.49971
73	25353.45964
74	25215.72507
75	25043.4913
76	24877.83152
77	24708.59858
78	24561.66701
79	24420.84958
80	24282.69306
81	24143.84057
82	23992.9905
83	23824.21152
84	23690.10966
85	23582.47512
86	23466.40259
87	23352.21312
88	23199.46499
89	23060.35637
90	22942.96501
91	22816.17176
92	22716.53038
93	22625.20023
94	22508.25004
95	22410.48795
96	22331.46568
97	22250.61141
98	22173.73498
99	22074.46818
100	21998.87039
101	21901.7722
102	21804.72347
103	21732.09222
104	21656.58334
105	21548.37201
106	21448.25876
107	21372.38434
108	21287.53321
109	21209.25696
110	21116.72129
111	21046.45562
112	20967.67758
113	20889.43092
114	20838.78009
115	20771.04107
116	20702.10173
117	20636.9104
118	20608.77147
119	20538.9783
120	20488.85259
121	20423.12784
122	20383.45487
123	20331.73989
124	20256.85055
125	20193.1632
126	20154.9099
127	20110.55796
128	20076.25189
129	20015.72704
130	19949.66935
131	19906.41414
132	19857.52276
133	19796.09818
134	19757.39571
135	19677.52734
136	19631.8526
137	19574.94157
138	19543.90577
139	19487.81398
140	19418.88394
141	19370.30104
142	19313.42727
143	19272.73712
144	19214.24671
145	19161.72503
146	19118.73617
147	19082.92986
148	19036.53992
149	19027.24387
150	18958.92596
151	18899.94838
152	18857.77014
153	18814.96123
154	18790.83453
155	18735.03398
156	18707.51915
157	18658.59556
158	18618.09748
159	18582.0689
160	18532.21918
161	18495.13333
162	18462.32451
163	18400.218
164	18352.03685
165	18342.52231
166	18288.06628
167	18256.81648
168	18215.10136
169	18174.83834
170	18141.56504
171	18110.96777
172	18076.61453
173	18045.6287
174	18014.18209
175	17983.70293
176	17950.39042
177	17929.08187
178	17895.60882
179	17845.25509
180	17798.13271
181	17757.62576
182	17708.59732
183	17668.27115
184	17620.3666
185	17573.88082
186	17547.68748
187	17508.06281
188	17471.48523
189	17427.64947
190	17393.83865
191	17349.74068
192	17307.98414
193	17267.56571
194	17227.655
195	17196.7561
196	17166.53611
197	17140.31072
198	17109.60189
199	17074.98146
200	17046.91474
201	17024.82086
202	17003.85794
203	16988.04684
204	16956.71718
205	16930.2111
206	16906.79405
207	16868.35081
208	16836.05624
209	16804.43047
210	16775.18428
211	16746.24516
212	16707.20088
213	16677.56825
214	16647.66066
215	16603.70762
216	16581.67923
217	16564.95151
218	16543.98756
219	16510.78619
220	16478.56627
221	16449.60772
222	16416.84324
223	16390.25692
224	16354.39147
225	16308.8543
226	16280.18188
227	16251.09518
228	16233.08992
229	16222.04805
230	16188.71125
231	16163.96977
232	16117.89346
233	16067.71329
234	16030.28557
235	15999.98422
236	15968.15725
237	15958.89996
238	15944.52678
239	15906.03802
240	15869.60618
241	15854.13311
242	15843.32493
243	15809.98843
244	15774.40006
245	15735.49578
246	15708.07664
247	15693.18407
248	15651.04007
249	15638.50116
250	15613.21493
251	15581.38944
252	15543.01683
253	15533.85357
254	15519.89326
255	15487.87172
256	15469.73372
257	15439.77118
258	15413.16281
259	15406.40514
260	15373.85109
261	15367.28458
262	15335.55957
263	15324.45784
264	15300.1638
265	15282.46522
266	15276.31257
267	15251.78198
268	15246.24287
269	15240.78431
270	15217.71078
271	15212.44501
272	15204.73969
273	15199.26839
274	15191.93959
275	15186.77669
276	15166.80915
277	15141.19224
278	15130.43674
279	15118.74219
280	15084.58357
281	15080.17466
282	15075.77271
283	15071.17215
284	15056.75584
285	15023.20838
286	14996.03051
287	14968.53592
288	14932.36014
289	14928.35616
290	14924.09888
291	14919.9609
292	14896.03915
293	14857.09035
294	14828.50418
295	14803.00539
296	14772.56475
297	14738.48277
298	14696.72577
299	14692.84769
300	14661.9948
301	14653.92623
302	14625.23479
303	14605.29342
304	14601.83806
305	14571.43991
306	14537.24474
307	14517.23111
308	14512.48997
309	14484.86614
310	14438.41208
311	14412.15472
312	14376.03921
313	14340.35157
314	14336.52512
315	14311.71737
316	14308.24952
317	14294.22293
318	14275.09938
319	14257.5465
320	14235.42753
321	14207.62849
322	14188.01984
323	14150.74568
324	14139.37939
325	14124.0111
326	14103.60708
327	14075.78719
328	14046.83023
329	14037.50137
330	14033.88668
331	14029.50008
332	14005.08881
333	13994.48455
334	13967.48776
335	13956.05899
336	13938.2216
337	13921.5699
338	13902.73755
339	13889.30364
340	13877.74619
341	13845.5552
342	13811.28579
343	13785.50113
344	13757.55549
345	13740.62367
346	13725.43523
347	13700.84719
348	13673.20201
349	13642.14269
350	13624.51445
351	13615.90677
352	13586.83387
353	13571.4747
354	13553.67142
355	13535.14758
356	13507.26557
357	13498.97891
358	13476.05342
359	13447.42701
360	13425.16283
361	13414.90103
362	13403.30043
363	13384.25558
364	13363.12678
365	13338.69165
366	13309.18231
367	13293.24335
368	13274.25819
369	13257.22667
370	13233.58577
371	13200.37069
372	13178.11212
373	13158.8026
374	13140.76736
375	13131.17272
376	13098.62476
377	13091.43972
378	13064.82223
379	13041.36801
380	13032.55505
381	12990.05831
382	12987.46026
383	12966.26303
384	12941.26369
385	12922.21637
386	12907.72962
387	12891.58163
388	12884.18428
389	12871.07655
390	12844.48448
391	12829.92872
392	12813.85642
393	12783.74653
394	12755.33334
395	12738.51852
396	12717.33303
397	12703.29058
398	12681.01311
399	12661.68344
400	12638.13176
401	12619.86457
402	12612.52271
403	12610.12274
404	12591.08085
405	12582.56056
406	12566.12458
407	12559.56402
408	12535.80669
409	12513.80202
410	12494.40219
411	12471.37865
412	12452.76426
413	12447.74673
414	12433.24356
415	12425.23012
416	12418.69313
417	12409.50955
418	12400.02246
419	12373.75438
420	12343.10057
421	12322.57388
422	12298.37023
423	12276.86239
424	12247.15685
425	12230.04854
426	12202.63297
427	12192.79549
428	12170.97044
429	12156.3259
430	12141.2266
431	12115.31417
432	12108.14483
433	12094.1177
434	12082.31049
435	12059.67603
436	12052.44109
437	12027.54765
438	12007.63607
439	11993.85253
440	11964.66536
441	11936.48819
442	11918.33515
443	11901.6331
444	11888.02153
445	11877.43109
446	11851.60949
447	11833.31842
448	11813.01364
449	11790.35964
450	11768.32644
451	11753.36235
452	11735.13268
453	11728.72622
454	11705.99082
455	11679.44344
456	11668.36414
457	11651.46257
458	11624.15824
459	11605.73954
460	11586.74477
461	11567.26955
462	11559.39288
463	11549.8954
464	11526.39867
465	11507.69147
466	11493.54606
467	11475.46232
468	11473.01914
469	11447.82371
470	11431.26013
471	11417.21996
472	11400.17625
473	11385.58086
474	11372.6462
475	11370.23341
476	11347.64084
477	11332.7456
478	11321.13321
479	11304.97746
480	11297.79758
481	11280.9778
482	11261.45408
483	11248.46364
484	11236.71701
485	11217.29714
486	11199.08085
487	11183.25819
488	11162.02109
489	11148.54776
490	11129.73953
491	11105.57211
492	11098.12043
493	11086.18221
494	11067.10947
495	11048.3923
496	11041.73673
497	11014.30146
498	11011.65966
499	10996.36369
500	10986.44816
501	10964.70804
502	10944.42962
503	10934.78584
504	10918.42624
505	10901.45802
506	10884.04741
507	10870.01294
508	10846.65147
509	10828.17055
510	10809.00215
511	10794.36251
512	10778.44556
513	10764.4783
514	10752.71853
515	10745.35075
516	10730.02308
517	10716.97178
518	10702.59307
519	10685.91322
520	10668.53957
521	10655.4928
522	10641.98332
523	10626.3113
524	10602.09054
525	10590.7682
526	10576.60356
527	10559.11891
528	10535.92016
529	10513.22814
530	10503.82843
531	10489.34087
532	10474.442
533	10460.46555
534	10446.7103
535	10432.92679
536	10421.30501
537	10416.18077
538	10400.37808
539	10386.45398
540	10366.89802
541	10359.60834
542	10346.72711
543	10334.43588
544	10330.04298
545	10325.67518
546	10316.73467
547	10304.53473
548	10298.33331
549	10284.99457
550	10282.98697
551	10281.00282
552	10259.94828
553	10245.72368
554	10230.97832
555	10212.03285
556	10199.33472
557	10197.5075
558	10183.61495
559	10177.86099
560	10159.16567
561	10144.161
562	10134.46816
563	10124.67772
564	10107.89364
565	10098.32034
566	10089.39164
567	10077.05955
568	10063.98221
569	10046.0004
570	10023.43608
571	10011.39141
572	9996.846564
573	9979.730883
574	9973.492128
575	9962.78732
576	9960.851712
577	9951.678689
578	9937.20013
579	9930.294775
580	9910.722469
581	9901.764356
582	9889.325575
583	9877.747536
584	9854.666722
585	9840.681116
586	9829.501503
587	9818.940502
588	9802.408806
589	9800.948669
590	9790.652623
591	9766.305033
592	9741.761721
593	9734.424065
594	9730.315951
595	9719.321862
596	9703.309324
597	9686.769667
598	9672.70845
599	9663.827482
600	9655.65812
601	9638.209823
602	9632.845399
603	9621.361431
604	9608.106001
605	9595.929375
606	9575.599006
607	9564.105063
608	9546.086692
609	9533.077943
610	9517.35026
611	9516.330317
612	9506.576523
613	9495.949978
614	9484.659676
615	9482.272114
616	9476.242637
617	9472.158714
618	9454.938765
619	9439.755881
620	9438.468319
621	9422.349117
