iter	Passed	Remaining
0	6	6716
1	13	6537
2	19	6448
3	25	6368
4	31	6336
5	38	6298
6	44	6295
7	48	5989
8	54	6011
9	60	6005
10	66	6013
11	83	6913
12	90	6868
13	96	6806
14	102	6748
15	109	6716
16	115	6684
17	121	6634
18	128	6610
19	134	6577
20	140	6535
21	146	6497
22	152	6470
23	158	6437
24	166	6496
25	173	6505
26	180	6489
27	186	6467
28	192	6441
29	198	6413
30	204	6395
31	211	6383
32	217	6361
33	223	6344
34	229	6322
35	240	6427
36	246	6404
37	252	6392
38	258	6373
39	264	6359
40	271	6343
41	277	6333
42	283	6313
43	289	6298
44	296	6283
45	302	6265
46	308	6248
47	314	6229
48	320	6212
49	326	6204
50	332	6193
51	338	6177
52	353	6316
53	359	6305
54	366	6292
55	372	6275
56	380	6294
57	388	6309
58	394	6297
59	401	6285
60	407	6270
61	413	6258
62	420	6247
63	426	6238
64	432	6227
65	439	6214
66	447	6228
67	453	6214
68	459	6205
69	466	6191
70	472	6180
71	478	6170
72	485	6160
73	491	6149
74	497	6136
75	503	6126
76	510	6114
77	516	6101
78	522	6089
79	528	6078
80	540	6130
81	550	6158
82	556	6145
83	562	6133
84	568	6118
85	574	6108
86	580	6096
87	587	6083
88	593	6072
89	599	6060
90	605	6050
91	614	6068
92	620	6055
93	626	6042
94	633	6030
95	639	6017
96	645	6006
97	651	5993
98	657	5981
99	663	5973
100	669	5962
101	675	5950
102	681	5939
103	687	5927
104	694	5916
105	700	5904
106	706	5897
107	713	5889
108	726	5937
109	732	5928
110	738	5917
111	745	5907
112	751	5897
113	758	5892
114	764	5884
115	770	5873
116	777	5865
117	783	5856
118	789	5846
119	796	5838
120	802	5829
121	808	5820
122	814	5810
123	820	5799
124	827	5789
125	833	5780
126	842	5793
127	848	5783
128	855	5775
129	861	5765
130	867	5754
131	873	5743
132	879	5733
133	885	5724
134	896	5746
135	918	5833
136	924	5824
137	930	5814
138	937	5805
139	943	5796
140	950	5787
141	961	5809
142	970	5818
143	977	5807
144	983	5796
145	989	5788
146	995	5778
147	1002	5769
148	1008	5760
149	1014	5750
150	1020	5740
151	1028	5736
152	1034	5726
153	1040	5717
154	1046	5706
155	1053	5697
156	1059	5688
157	1065	5678
158	1071	5668
159	1085	5697
160	1092	5690
161	1098	5681
162	1104	5670
163	1110	5661
164	1116	5651
165	1122	5640
166	1128	5630
167	1135	5621
168	1141	5611
169	1147	5602
170	1153	5592
171	1159	5582
172	1165	5572
173	1171	5562
174	1177	5552
175	1183	5542
176	1190	5533
177	1196	5524
178	1202	5514
179	1212	5522
180	1218	5513
181	1224	5503
182	1230	5493
183	1236	5483
184	1242	5473
185	1248	5465
186	1254	5454
187	1262	5453
188	1274	5468
189	1280	5460
190	1287	5451
191	1293	5441
192	1299	5431
193	1304	5421
194	1311	5412
195	1319	5414
196	1325	5404
197	1331	5394
198	1338	5388
199	1344	5379
200	1350	5369
201	1356	5359
202	1362	5349
203	1368	5340
204	1374	5330
205	1380	5321
206	1386	5311
207	1392	5303
208	1399	5294
209	1405	5286
210	1411	5277
211	1417	5269
212	1423	5260
213	1429	5251
214	1435	5242
215	1443	5239
216	1459	5267
217	1473	5285
218	1480	5279
219	1486	5271
220	1493	5263
221	1499	5256
222	1506	5247
223	1512	5239
224	1518	5230
225	1524	5222
226	1531	5213
227	1537	5205
228	1543	5197
229	1557	5214
230	1564	5208
231	1571	5200
232	1577	5192
233	1583	5185
234	1590	5178
235	1596	5169
236	1603	5162
237	1609	5154
238	1616	5146
239	1623	5139
240	1630	5134
241	1638	5130
242	1649	5137
243	1655	5129
244	1661	5120
245	1668	5112
246	1674	5105
247	1680	5096
248	1687	5089
249	1693	5081
250	1701	5077
251	1707	5068
252	1713	5060
253	1720	5051
254	1726	5044
255	1733	5037
256	1739	5028
257	1745	5019
258	1755	5021
259	1761	5013
260	1767	5005
261	1773	4996
262	1780	4988
263	1786	4979
264	1792	4971
265	1798	4962
266	1804	4955
267	1810	4946
268	1825	4959
269	1832	4954
270	1838	4946
271	1853	4960
272	1859	4952
273	1866	4944
274	1872	4935
275	1877	4926
276	1883	4917
277	1889	4908
278	1895	4898
279	1901	4889
280	1907	4881
281	1913	4872
282	1919	4863
283	1925	4854
284	1931	4845
285	1937	4837
286	1943	4828
287	1949	4819
288	1955	4811
289	1961	4802
290	1967	4793
291	1974	4786
292	1982	4782
293	1988	4774
294	1994	4765
295	2001	4759
296	2008	4754
297	2014	4746
298	2021	4738
299	2027	4729
300	2033	4721
301	2039	4712
302	2045	4704
303	2051	4695
304	2056	4687
305	2063	4679
306	2069	4671
307	2075	4663
308	2081	4654
309	2087	4646
310	2093	4638
311	2100	4631
312	2106	4623
313	2112	4615
314	2118	4606
315	2124	4598
316	2130	4589
317	2136	4581
318	2142	4573
319	2148	4565
320	2154	4557
321	2160	4549
322	2166	4540
323	2172	4533
324	2180	4528
325	2188	4525
326	2195	4517
327	2204	4517
328	2211	4509
329	2217	4501
330	2223	4494
331	2230	4486
332	2236	4479
333	2242	4471
334	2249	4465
335	2256	4458
336	2262	4451
337	2268	4443
338	2274	4435
339	2281	4427
340	2287	4419
341	2293	4412
342	2299	4404
343	2307	4399
344	2313	4392
345	2319	4384
346	2325	4376
347	2332	4369
348	2338	4361
349	2345	4355
350	2351	4347
351	2359	4342
352	2368	4341
353	2375	4334
354	2381	4327
355	2387	4319
356	2393	4311
357	2399	4303
358	2406	4296
359	2412	4288
360	2418	4281
361	2426	4276
362	2432	4269
363	2439	4262
364	2445	4254
365	2451	4247
366	2458	4240
367	2464	4232
368	2470	4225
369	2477	4218
370	2483	4211
371	2490	4204
372	2497	4197
373	2503	4190
374	2509	4182
375	2515	4175
376	2522	4168
377	2528	4160
378	2534	4152
379	2543	4149
380	2557	4155
381	2572	4161
382	2582	4161
383	2589	4153
384	2595	4146
385	2601	4138
386	2608	4131
387	2615	4125
388	2621	4118
389	2628	4111
390	2635	4104
391	2641	4096
392	2647	4089
393	2654	4082
394	2660	4075
395	2670	4072
396	2676	4066
397	2683	4058
398	2690	4052
399	2696	4044
400	2702	4037
401	2709	4030
402	2723	4034
403	2736	4036
404	2746	4034
405	2752	4027
406	2758	4019
407	2765	4012
408	2771	4004
409	2777	3997
410	2784	3990
411	2790	3982
412	2796	3974
413	2802	3967
414	2809	3959
415	2815	3952
416	2821	3944
417	2827	3937
418	2834	3929
419	2840	3922
420	2847	3915
421	2853	3908
422	2860	3901
423	2866	3894
424	2872	3886
425	2878	3878
426	2884	3871
427	2894	3868
428	2904	3866
429	2916	3866
430	2923	3859
431	2929	3851
432	2935	3844
433	2942	3837
434	2948	3829
435	2954	3822
436	2961	3815
437	2967	3808
438	2974	3800
439	2980	3793
440	2986	3785
441	2992	3778
442	2998	3770
443	3004	3762
444	3011	3755
445	3017	3747
446	3023	3739
447	3029	3732
448	3035	3724
449	3041	3717
450	3049	3712
451	3055	3704
452	3061	3697
453	3068	3689
454	3074	3682
455	3080	3674
456	3092	3673
457	3099	3667
458	3105	3660
459	3115	3657
460	3121	3649
461	3127	3642
462	3134	3634
463	3140	3627
464	3146	3620
465	3153	3613
466	3159	3605
467	3165	3598
468	3172	3592
469	3178	3584
470	3184	3577
471	3191	3569
472	3197	3563
473	3204	3555
474	3210	3548
475	3216	3541
476	3223	3533
477	3229	3526
478	3235	3519
479	3241	3511
480	3248	3504
481	3254	3497
482	3260	3490
483	3266	3482
484	3280	3483
485	3287	3476
486	3293	3469
487	3299	3462
488	3306	3454
489	3312	3447
490	3318	3440
491	3324	3433
492	3330	3425
493	3340	3421
494	3346	3414
495	3353	3407
496	3359	3399
497	3365	3392
498	3371	3385
499	3378	3378
500	3384	3370
501	3390	3363
502	3396	3356
503	3402	3348
504	3408	3341
505	3414	3333
506	3420	3326
507	3427	3319
508	3433	3312
509	3440	3305
510	3455	3306
511	3461	3299
512	3472	3296
513	3478	3288
514	3484	3281
515	3491	3274
516	3497	3267
517	3503	3260
518	3510	3253
519	3516	3245
520	3522	3238
521	3528	3231
522	3535	3224
523	3541	3217
524	3547	3209
525	3555	3203
526	3561	3196
527	3567	3188
528	3573	3181
529	3579	3174
530	3585	3166
531	3594	3162
532	3604	3158
533	3610	3151
534	3616	3143
535	3623	3136
536	3631	3131
537	3637	3124
538	3644	3116
539	3650	3109
540	3656	3102
541	3662	3094
542	3668	3087
543	3674	3079
544	3680	3072
545	3686	3065
546	3692	3057
547	3698	3050
548	3704	3043
549	3710	3036
550	3716	3028
551	3722	3021
552	3728	3013
